file,2theta_deg,intensity,FWHM_deg,prom_log10
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,42.09,243.35,0.07000000000000028,0.03601197097491145
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,42.16,232.669,0.4899999999999949,0.030156012488825386
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,42.23,235.967,0.4799999999999969,0.0348382369581173
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,42.3,231.669,0.4899999999999949,0.03002514293182198
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,42.62,231.881,0.0799999999999983,0.036548633216376275
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,42.75,241.511,0.0899999999999963,0.054049329118432625
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,43.08,232.711,0.240000000000002,0.0385908708773217
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,43.17,235.508,0.21999999999999886,0.044343215679307935
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,43.34,228.158,0.07000000000000028,0.03564239112783971
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,43.63,236.032,0.09999999999999432,0.05362737031118341
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,43.73,233.148,0.17999999999999972,0.04533838864150792
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,43.99,223.236,0.15000000000000568,0.0372963463185861
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,44.12,222.421,0.07000000000000028,0.037803563110891836
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,44.21,220.909,0.12999999999999545,0.03797489479607787
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,44.26,224.165,0.12999999999999545,0.04198825290706534
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,44.54,227.606,0.18999999999999773,0.03204774393623323
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,44.61,232.462,0.1700000000000017,0.03088475209654683
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,44.73,247.947,0.07000000000000028,0.03643026250724961
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,45.05,325.273,0.21000000000000085,0.06510908828564682
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,45.12,338.312,0.20000000000000284,0.07473650964678827
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,45.47,249.492,0.07000000000000028,0.033936544975251504
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,45.77,218.553,0.07000000000000028,0.033947290013374896
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.01,207.895,0.28999999999999915,0.036659969319703785
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.09,205.453,0.28000000000000114,0.03766241139296987
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.2,207.807,0.10000000000000142,0.04589391897443544
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.36,215.104,0.0799999999999983,0.057212222565082835
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.48,197.726,0.5399999999999991,0.03157503688381182
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.59,203.942,0.21999999999999886,0.05112295237172688
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.72,193.705,0.5399999999999991,0.032836924268540416
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.86,197.971,0.1700000000000017,0.044763813010562814
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,46.96,195.496,0.17999999999999972,0.03902013493225841
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.18,196.478,0.25,0.04454053593360484
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.28,195.483,0.35999999999999943,0.051723870698143964
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.33,191.601,0.38000000000000256,0.047046958670358685
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.53,186.297,0.14000000000000057,0.05680189745929767
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.61,180.074,0.5100000000000051,0.04100566751076226
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.71,179.014,0.5399999999999991,0.03995832113521531
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.85,187.506,0.17999999999999972,0.05841318460903158
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,47.93,185.656,0.18999999999999773,0.05404590593461704
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.05,179.596,0.09000000000000341,0.0395794371952114
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.17,194.045,0.13000000000000256,0.06854360052292763
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.24,191.103,0.14999999999999858,0.056421002386542976
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.35,188.127,0.28999999999999915,0.045201462031946776
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.43,187.095,0.1599999999999966,0.0549628328137147
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.53,187.355,0.10000000000000142,0.04734672824482898
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.65,180.243,0.07000000000000028,0.03796082398471569
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.74,177.977,0.2600000000000051,0.0371157362390795
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,48.82,179.221,0.2600000000000051,0.036124079134376805
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.0,180.25,0.20000000000000284,0.043276653196395384
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.11,183.854,0.20000000000000284,0.04203999934546266
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.32,184.0,0.10999999999999943,0.04905404225857846
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.44,181.407,0.269999999999996,0.04461135821953795
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.56,185.626,0.259999999999998,0.0528057907630948
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.77,177.197,0.07000000000000028,0.03733483693195849
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,49.92,182.208,0.10999999999999943,0.060119502254131034
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.04,180.936,0.2700000000000031,0.05108675226996669
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.11,179.123,0.3299999999999983,0.039128469378527944
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.25,175.734,0.3500000000000014,0.03593829907361113
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.47,196.356,0.12000000000000455,0.05233846892934102
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.59,210.197,0.30000000000000426,0.05419371690667915
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.72,227.833,0.0799999999999983,0.07231515554528356
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.82,207.775,0.480000000000004,0.04436464269354612
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.91,209.789,0.15000000000000568,0.056863936893471495
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,50.99,197.264,0.480000000000004,0.04421153203279636
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.09,183.427,0.1599999999999966,0.04307622303787916
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.17,181.323,0.14999999999999858,0.056241842561074146
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.3,173.18,0.14999999999999858,0.04162973738959172
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.35,168.438,0.28000000000000114,0.03347299415758539
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.47,172.482,0.11000000000000654,0.058912518101930024
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.58,169.675,0.21999999999999886,0.04518147668753015
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.65,162.772,0.21999999999999886,0.03570738170030773
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.71,162.37,0.21999999999999886,0.036156106868739935
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,51.88,163.328,0.30999999999999517,0.03689511164976929
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.0,164.397,0.22999999999999687,0.04852531978740472
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.12,163.636,0.29999999999999716,0.04298487818946653
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.2,166.05,0.0799999999999983,0.05391284067987552
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.3,163.874,0.3300000000000054,0.039529421220804724
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.38,161.561,0.5399999999999991,0.034895253979135336
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.45,172.294,0.07000000000000028,0.052890904083418656
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.55,162.962,0.18999999999999773,0.04801519961454962
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.64,169.494,0.1700000000000017,0.06595896105026078
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,52.78,155.714,0.11999999999999744,0.03170236784983251
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.01,163.643,0.11999999999999744,0.05504530980763475
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.13,167.394,0.14999999999999858,0.06324558138565138
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.2,157.367,0.25,0.03570092745091849
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.28,157.961,0.25,0.04321252001813513
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.39,150.646,0.6199999999999974,0.0311919828470687
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.54,154.278,0.6199999999999974,0.0441693410926215
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.64,164.93,0.0899999999999963,0.07521090052464775
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.75,161.464,0.14999999999999858,0.05570696189941963
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.81,154.628,0.6099999999999994,0.04579481173755992
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,53.91,158.226,0.0800000000000054,0.059063677376976154
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.04,149.65,0.07000000000000028,0.03653172246869395
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.13,150.961,0.36999999999999744,0.04640491718899991
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.26,157.352,0.240000000000002,0.060904732350807914
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.41,165.383,0.0800000000000054,0.0686813499392374
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.57,160.579,0.0899999999999963,0.07891546812488107
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.68,154.071,0.07000000000000028,0.05713917927056226
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.76,156.529,0.060000000000002274,0.04122476403317304
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.88,156.947,0.27999999999999403,0.05142575437860748
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,54.99,155.37,0.28999999999999915,0.043455948268520964
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,55.09,152.944,0.30999999999999517,0.03521102905655898
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,55.3,161.137,0.10999999999999943,0.055310875891046204
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,55.89,280.943,0.23999999999999488,0.0962496096391793
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,55.98,276.485,0.23999999999999488,0.08908423684634924
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,56.65,147.175,0.07000000000000028,0.0433419308750136
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,56.77,152.183,0.05999999999999517,0.04777695191168593
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,56.89,144.803,0.21999999999999886,0.046979135601900604
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.0,148.402,0.21999999999999886,0.053053091854999235
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.12,141.137,0.28000000000000114,0.03599968808541444
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.19,147.868,0.13999999999999346,0.06074842551029963
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.28,146.094,0.07000000000000028,0.055873808104519376
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.45,143.745,0.240000000000002,0.05211861711438635
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.57,145.921,0.23000000000000398,0.05834649964203687
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.8,146.889,0.1599999999999966,0.06093722966724649
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,57.88,142.106,0.1700000000000017,0.05444197936579843
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,58.0,140.902,0.07000000000000028,0.04663923924567472
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,58.1,138.043,0.17999999999999972,0.03571381219747882
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,58.2,138.93,0.1599999999999966,0.04808306908807631
